folder_id,object_id,patch_id,id,ra,dec,redshift,rms,catalogue
./annotation_check_triplets/,1a_triplet.png,1a,1a,197.8602167,-1.33243056,,,
./annotation_check_triplets/,1b_triplet.png,1b,1b,197.8595375,-1.33338611,,,
./annotation_check_triplets/,1c_triplet.png,1c,1c,197.8740542,-1.35206389,,,
./annotation_check_triplets/,1d_triplet.png,1d,1d,197.887775,-1.34096389,,,
./annotation_check_triplets/,1e_triplet.png,1e,1e,197.88305,-1.334975,,,
./annotation_check_triplets/,1f_triplet.png,1f,1f,197.8743833,-1.34402778,,,
./annotation_check_triplets/,2a_triplet.png,2a,2a,197.8605167,-1.33208056,,,
./annotation_check_triplets/,2b_triplet.png,2b,2b,197.8873708,-1.34041944,,,
./annotation_check_triplets/,2c_triplet.png,2c,2c,197.8832417,-1.335325,,,
./annotation_check_triplets/,2d_triplet.png,2d,2d,197.8742167,-1.35168056,,,
./annotation_check_triplets/,2e_triplet.png,2e,2e,197.8745042,-1.3443,,,
./annotation_check_triplets/,3a_triplet.png,3a,3a,197.8835042,-1.34090833,,,
./annotation_check_triplets/,3b_triplet.png,3b,3b,197.884075,-1.34260278,,,
./annotation_check_triplets/,3c_triplet.png,3c,3c,197.8820958,-1.34888611,,,
./annotation_check_triplets/,4a_triplet.png,4a,4a,197.8840625,-1.34926944,,,
./annotation_check_triplets/,4b_triplet.png,4b,4b,197.8772,-1.35333889,,,
./annotation_check_triplets/,4c_triplet.png,4c,4c,197.8781583,-1.335625,,,
./annotation_check_triplets/,4d_triplet.png,4d,4d,197.8595208,-1.34316667,,,
./annotation_check_triplets/,4e_triplet.png,4e,4e,197.8743208,-1.34151389,,,
./annotation_check_triplets/,5a_triplet.png,5a,5a,197.8711,-1.34684444,,,
./annotation_check_triplets/,5b_triplet.png,5b,5b,197.8717667,-1.34562222,,,
./annotation_check_triplets/,5c_triplet.png,5c,5c,197.8921667,-1.33915556,,,
./annotation_check_triplets/,6a_triplet.png,6a,6a,197.8781458,-1.327275,,,
./annotation_check_triplets/,6b_triplet.png,6b,6b,197.8889375,-1.33672222,,,
./annotation_check_triplets/,6c_triplet.png,6c,6c,197.886425,-1.33180278,,,
./annotation_check_triplets/,6d_triplet.png,6d,6d,197.885325,-1.33300278,,,
./annotation_check_triplets/,7b_triplet.png,7b,7b,197.877825,-1.33721944,,,
